,SITUATION,EMOTION
362,When I got through the first day here at the department.,JOY
363,When I was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic.,FEAR
364,When my boyfriend sat up half the night playing computer games with a friend.,ANGER
365,When I had to leave my mother and my sister after a week's visit.,SADNESS
366,When I saw a big spider from very close.,DISGUST
367,When I asked a friend to return the money that I had loaned her and then remembered that she had repayed me in several ways.,SHAME
368,When one of my parents insinuates something about the other (they are divorced).,GUILT
369,When i was asked to be a child's godmother.,JOY
370,On the way down a ski slope which was difficult and steep.,FEAR
371,When my mother interfered in my life.,ANGER
372,When I was left alone one week-end without being prepared for it.,SADNESS
373,The first time that I saw a surgeon cut off a leg and put it in a black rubbish bag.,DISGUST
374,When I forgot about a meeting at work.,SHAME
375,When I demand too much from my friends.,GUILT
376,When my husband suddenly came to see me at my new job and brought some flowers and cake with him.,JOY
377,When I was nearly attackad by a man who had been chasing me.,FEAR
378,"When my father asked me if I was a communist, at the same time he made it clear that I should no longer see myself as his daughter.",ANGER
379,"When I applied for a job which I thought I had a good chance of getting, I was not even granted an interview and did not get the job.",SADNESS
380,T.V features showing the violation of defenceless people.,DISGUST
381,When I as a child of 9 or 10 I was playing doctor with the neighbours boys their mother caught us.,SHAME
382,When my husband talked about the restrictions he will have to accept in his life to make our marriage work.  I felt that it was directed at me as it was me who had demanded the changes.  We were with a marriage counsellor then.,GUILT
383,When we were able to afford a new sofa - a leather one which cost SEK 20000.  I had waited for it for 2-3 years.,JOY
384,Vertigo - standing on a ladder and painting the house.,FEAR
385,When my boss enrolled in a course to satisfy his own ends - to trample on his associates.  I have the misfortune to have one of my superiors in my course.,ANGER
386,When I argue with my mother about the way she treats her two children differently.,SADNESS
387,Spit and vomit.,DISGUST
388,Spots on the seat covers of my husband's car.,SHAME
389,Not speaking to my sister-in-law due to lack of interest in a relationship on my side.,GUILT
390,"When I recently managed to get my first consulting assignment \myself\"" i.e on my own initiative.""",JOY
391,I was within a hair's breadth of knocking down a drunkard who suddenly ran into the street.  The fear came later when I     realized what could have happened.,FEAR
392,"When my friend, as usual, forgot the tickets at home for a performance.  We missed it.",ANGER
393,"The elections of 1982 and 1985.  The thought of what a social democrat and communist majority could achieve, especially \worker áshare\"" funds and its extension.""",SADNESS
394,"A study visit to a chicken factory : the butchery, the smell, the environment and the noise.",DISGUST
395,Confession to my parents about my involvement in a moped theft.,SHAME
396,"[ No answer as I see very little difference between shame and guilt.  Therefore see answer for \shame\"".]""",GUILT
397,When I was appointed to position of trust in a group set up to change the working environment.,JOY
398,I was alone in a cottage I often stay in.  I was woken up by a rustling sound in the middle of the night.,FEAR
399,"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times).",ANGER
400,When the result of a project work was treated nonchalantly intead of being criticized by the teacher.,SADNESS
401,When programmes on violence or pornography are shown on T.V.,DISGUST
402,When I talked maliciously about a colleague at work to someone else.  Immediately afterwards I felt ashamed.,SHAME
403,When I decided to take a week s holiday without consulting the family first.,GUILT
404,After my girl and I talked things over our relationship changed and became positive.  A diificult time turned into pleasant one.,JOY
405,When we could not land our plane and we knew that the fuel was running out.  Bad weather had already frightened us.,FEAR
406,When I read about Reagan's tactical decision concerning the South African boycott.,ANGER
407,When my half brother became seriously ill with cancer and died later.,SADNESS
408,A film were a woman was attacked and raped.  One did not see the worst but it had the desired effect - very strong.,DISGUST
409,I made a comment and it was interpreted completely differently from what I had meant.  When I said it I realized how my mother had understood it.,SHAME
410,I had promised to visit my girlfriend but for different reasons could not make it.  I rang up later to tell her that I could not come.,GUILT
411,"When I was offered a high position of trust, which I later accepted.",JOY
412,I had the window open and the door was shut so that the kitten would not go out.  My partner came in and started talking about something and I forgot about the window and suddenly I saw the kitten hanging from the window frame. I was rigid with fright till I got hold of her.,FEAR
413,Some noisy guests arrived at the hotel.  I had been slightly irritated earlier.  At night when I was trying to sleep they were having a party so I went and yelled at them.  I wanted to sleep as I had to get up early the next day.,ANGER
414,When I was told that I had not been successful in getting the job I had been expecting.  I was sure that I was sufficiently qualified.,SADNESS
